 ,WEEK,WEIGHT,STATE,ETRO,REGION,DIVISION,OWNHOME,MARITAL,EMPLOY,HHNUM,ADULTS,KIDS1217,KIDS611,KIDS06,PARENT,AGE,AGE2,EDUC2,EDUC,INCOME,RACE,PARTYROT,PARTY,IDEOROT,IDEO,REGIST,C3A,SEX,IDENT,L1,C1,C1A,USBORN,USLIVE,RELIG,RELIGOPEN,DENOM,DENOMOPEN,BORN,JEWID,SECULAR,JDENOM,YEAR,DEMH1,DEMNHV,DATE,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6,Q7,Q8,I_EMPLOY,I_MARITAL,I_RACE
90000223,849,0.9822,OR,1,4,9,1,3,3,2,2,,,,2,67,,1,1,9,5,1,3,2,8,2,1,2,4,,1,1,3,38,2,,,,,,,,16,1,3,161208,3,2,2,2,1,0,0,0,0,0,0,0,1,1,1,3,3,3
90000225,849,1.4598,TX,1,3,7,2,1,2,1,1,,,,2,22,,3,2,5,10,2,1,1,2,2,,1,2,,2,1,,,2,,,,,,,,16,1,5,161208,2,2,2,2,1,1,1,1,0,1,0,0,2,2,1,2,1,5
90000226,849,1.5782,IL,1,2,3,2,3,1,2,2,,,,2,42,,3,2,3,4,2,3,2,3,2,,1,4,,2,7,3,22,2,,,,,,,,16,1,1,161208,3,2,2,2,1,0,0,0,0,0,0,0,1,3,2,1,3,3
90000227,849,1.6267,TX,5,3,7,1,3,1,4,2,0,0,2,1,34,,8,5,12,1,2,1,2,4,1,,2,2,,2,1,,,5,,2,,,,,,16,1,1,161208,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,1,3,1
90000228,849,1.1455,PA,3,1,2,2,1,5,4,4,,,,2,33,,6,4,1,1,2,1,2,2,1,,1,2,,2,1,,,15,,4,,1,,,,16,2,,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,1,9,5,1,1
90000229,849,0.8607,AR,1,3,7,1,2,1,4,3,1,0,0,1,46,,6,4,5,1,2,2,1,3,1,,1,2,,2,1,,,13,,,,1,,,,16,2,,161208,1,2,1,2,1,0,0,0,0,0,0,0,2,1,1,1,2,1
90000230,849,0.515,MA,3,1,1,1,5,2,1,1,,,,2,59,,6,4,98,99,2,3,1,3,1,1,2,2,,1,1,,,90,,,,,2,3,,16,1,1,161208,3,1,2,2,1,0,1,0,0,0,0,0,3,2,1,2,5,
90000231,849,0.4586,MO,3,2,4,2,5,3,1,1,,,,2,75,,2,1,1,1,2,3,2,3,1,1,2,2,,1,1,,,15,,2,,1,,,,16,1,3,161208,3,2,2,2,1,0,0,0,0,0,0,0,1,1,2,3,5,1
90000232,849,1.1347,PA,3,1,2,1,1,1,4,2,1,1,0,1,37,,6,4,6,2,2,3,1,3,2,,1,2,,2,1,,,98,,,,,1,,4,16,1,1,161208,1,2,2,2,0,0,0,0,0,0,0,1,,1,9,1,1,2
90000233,849,1.089,IL,1,2,3,1,2,1,2,2,,,,2,38,,8,5,13,1,2,2,2,5,1,,2,2,,2,1,,,7,,,,,,,5,16,1,1,161208,1,2,2,2,0,0,0,0,0,0,0,1,,3,2,1,2,1
90000234,849,1.0428,MA,2,1,1,2,1,2,2,2,,,,2,23,,6,4,99,1,2,3,1,3,1,,1,2,,2,1,,,99,,,,,,,,16,1,3,161208,1,2,1,2,0,0,0,0,0,0,0,1,,3,1,2,1,1
90000236,849,0.9333,TX,1,3,7,2,1,5,2,2,,,,2,23,,8,5,1,3,2,2,2,5,1,,1,2,,2,1,1,,96,,,,,2,,,16,1,2,161208,1,2,2,2,1,0,0,0,0,1,0,0,3,2,1,5,1,3
90000237,849,1.5803,IL,5,2,3,2,3,1,4,2,0,1,1,1,48,,3,2,4,1,2,9,1,9,2,1,1,2,,1,1,,,90,,,,,2,2,,16,2,,161208,3,2,2,2,1,0,0,0,0,0,0,0,3,3,2,1,3,1
90000238,849,0.25,NC,5,3,5,1,6,2,1,1,,,,2,65,,6,4,6,1,2,3,1,2,1,2,1,2,,1,1,,,15,,13,,1,,,,16,1,4,161208,1,2,2,2,1,0,0,0,0,0,0,0,1,1,2,2,4,1
90000239,849,1.98,AZ,3,4,8,2,3,2,2,2,,,,2,60,,3,2,2,5,2,3,1,4,2,,1,4,,2,1,3,20,2,,,,,,,,16,2,,161208,3,2,2,2,1,0,0,0,0,0,0,0,3,3,2,2,3,3
90000240,849,1.0786,MA,2,1,1,1,3,1,4,2,0,1,1,1,36,,6,4,12,1,2,3,2,3,1,1,1,2,,1,1,,,12,,,,,,,,16,1,1,161208,2,9,2,2,1,0,0,0,0,0,0,0,2,1,1,1,3,1
90000241,849,1.1563,NE,5,2,4,1,3,1,2,2,,,,2,60,,3,2,4,1,1,1,1,1,1,1,2,2,,1,1,,,8,,,,1,,,,16,1,1,161208,2,2,2,2,1,0,0,0,0,0,0,0,1,1,2,1,3,1
